"event","level","Rank","Name","NAT","round","DD","Score","judge_num","judge_name"
"women's 3m springboard","preliminary",25,"NILSSON GARIP Emilia","SWE","1",3,6,7," DAW Yehia Zakaria Yehia"
"women's 3m springboard","preliminary",25,"NILSSON GARIP Emilia","SWE","2",3,3.5,1," FEOKTISTOV Eduard"
"women's 3m springboard","preliminary",25,"NILSSON GARIP Emilia","SWE","2",3,4,2," GUAYACAN CONTRERAS Juan Carlos"
"women's 3m springboard","preliminary",25,"NILSSON GARIP Emilia","SWE","2",3,3.5,3," van der VOORT Ronald"
"women's 3m springboard","preliminary",25,"NILSSON GARIP Emilia","SWE","2",3,4,4," SANTOS Isabel"
"women's 3m springboard","preliminary",25,"NILSSON GARIP Emilia","SWE","2",3,3.5,5," SCHLEPPS Holger"
"women's 3m springboard","preliminary",25,"NILSSON GARIP Emilia","SWE","2",3,3.5,6," PRANARTA Pranarta"
"women's 3m springboard","preliminary",25,"NILSSON GARIP Emilia","SWE","2",3,3,7," DAW Yehia Zakaria Yehia"
"women's 3m springboard","preliminary",25,"NILSSON GARIP Emilia","SWE","3",3.1,5.5,1," ROCHA CHAVEZ Sergio"
"women's 3m springboard","preliminary",25,"NILSSON GARIP Emilia","SWE","3",3.1,5,2," FRASER Lindsey Ann"
"women's 3m springboard","preliminary",25,"NILSSON GARIP Emilia","SWE","3",3.1,5,3," LEE William"
"women's 3m springboard","preliminary",25,"NILSSON GARIP Emilia","SWE","3",3.1,6,4," REIS Violeta"
"women's 3m springboard","preliminary",25,"NILSSON GARIP Emilia","SWE","3",3.1,5,5," ZAMPIERI Marco"
"women's 3m springboard","preliminary",25,"NILSSON GARIP Emilia","SWE","3",3.1,5,6," RAO Lang"
"women's 3m springboard","preliminary",25,"NILSSON GARIP Emilia","SWE","3",3.1,5.5,7," SIEFKEN Jann Hendrik"
"women's 3m springboard","preliminary",25,"NILSSON GARIP Emilia","SWE","4",3,6,1," ROCHA CHAVEZ Sergio"
"women's 3m springboard","preliminary",25,"NILSSON GARIP Emilia","SWE","4",3,6.5,2," FRASER Lindsey Ann"
"women's 3m springboard","preliminary",25,"NILSSON GARIP Emilia","SWE","4",3,5.5,3," LEE William"
"women's 3m springboard","preliminary",25,"NILSSON GARIP Emilia","SWE","4",3,6,4," REIS Violeta"
"women's 3m springboard","preliminary",25,"NILSSON GARIP Emilia","SWE","4",3,6,5," ZAMPIERI Marco"
"women's 3m springboard","preliminary",25,"NILSSON GARIP Emilia","SWE","4",3,6,6," RAO Lang"
"women's 3m springboard","preliminary",25,"NILSSON GARIP Emilia","SWE","4",3,7,7," SIEFKEN Jann Hendrik"
"women's 3m springboard","preliminary",25,"NILSSON GARIP Emilia","SWE","5",3,6.5,1," FEOKTISTOV Eduard"
"women's 3m springboard","preliminary",25,"NILSSON GARIP Emilia","SWE","5",3,6.5,2," GUAYACAN CONTRERAS Juan Carlos"
"women's 3m springboard","preliminary",25,"NILSSON GARIP Emilia","SWE","5",3,6.5,3," van der VOORT Ronald"
"women's 3m springboard","preliminary",25,"NILSSON GARIP Emilia","SWE","5",3,6.5,4," SANTOS Isabel"
"women's 3m springboard","preliminary",25,"NILSSON GARIP Emilia","SWE","5",3,6.5,5," SCHLEPPS Holger"
"women's 3m springboard","preliminary",25,"NILSSON GARIP Emilia","SWE","5",3,7,6," PRANARTA Pranarta"
"women's 3m springboard","preliminary",25,"NILSSON GARIP Emilia","SWE","5",3,6,7," DAW Yehia Zakaria Yehia"
"women's 3m springboard","preliminary",26,"KUZINA Elizaveta","RUS","1",3,7,1," FEOKTISTOV Eduard"
"women's 3m springboard","preliminary",26,"KUZINA Elizaveta","RUS","1",3,6.5,2," GUAYACAN CONTRERAS Juan Carlos"
"women's 3m springboard","preliminary",26,"KUZINA Elizaveta","RUS","1",3,7,3," van der VOORT Ronald"
"women's 3m springboard","preliminary",26,"KUZINA Elizaveta","RUS","1",3,6.5,4," SANTOS Isabel"
"women's 3m springboard","preliminary",26,"KUZINA Elizaveta","RUS","1",3,7.5,5," SCHLEPPS Holger"
"women's 3m springboard","preliminary",26,"KUZINA Elizaveta","RUS","1",3,6.5,6," PRANARTA Pranarta"
"women's 3m springboard","preliminary",26,"KUZINA Elizaveta","RUS","1",3,7,7," DAW Yehia Zakaria Yehia"
"women's 3m springboard","preliminary",26,"KUZINA Elizaveta","RUS","2",3,6.5,1," FEOKTISTOV Eduard"
"women's 3m springboard","preliminary",26,"KUZINA Elizaveta","RUS","2",3,6.5,2," GUAYACAN CONTRERAS Juan Carlos"
"women's 3m springboard","preliminary",26,"KUZINA Elizaveta","RUS","2",3,6.5,3," van der VOORT Ronald"
"women's 3m springboard","preliminary",26,"KUZINA Elizaveta","RUS","2",3,7,4," SANTOS Isabel"
"women's 3m springboard","preliminary",26,"KUZINA Elizaveta","RUS","2",3,6.5,5," SCHLEPPS Holger"
"women's 3m springboard","preliminary",26,"KUZINA Elizaveta","RUS","2",3,7,6," PRANARTA Pranarta"
"women's 3m springboard","preliminary",26,"KUZINA Elizaveta","RUS","2",3,6.5,7," DAW Yehia Zakaria Yehia"
"women's 3m springboard","preliminary",26,"KUZINA Elizaveta","RUS","3",3,2,1," ROCHA CHAVEZ Sergio"
"women's 3m springboard","preliminary",26,"KUZINA Elizaveta","RUS","3",3,1,2," FRASER Lindsey Ann"
"women's 3m springboard","preliminary",26,"KUZINA Elizaveta","RUS","3",3,2,3," LEE William"
"women's 3m springboard","preliminary",26,"KUZINA Elizaveta","RUS","3",3,1.5,4," REIS Violeta"
"women's 3m springboard","preliminary",26,"KUZINA Elizaveta","RUS","3",3,1.5,5," ZAMPIERI Marco"
"women's 3m springboard","preliminary",26,"KUZINA Elizaveta","RUS","3",3,2,6," RAO Lang"
"women's 3m springboard","preliminary",26,"KUZINA Elizaveta","RUS","3",3,1,7," SIEFKEN Jann Hendrik"
"women's 3m springboard","preliminary",26,"KUZINA Elizaveta","RUS","4",3.1,6,1," ROCHA CHAVEZ Sergio"
"women's 3m springboard","preliminary",26,"KUZINA Elizaveta","RUS","4",3.1,6.5,2," FRASER Lindsey Ann"
"women's 3m springboard","preliminary",26,"KUZINA Elizaveta","RUS","4",3.1,6,3," LEE William"
"women's 3m springboard","preliminary",26,"KUZINA Elizaveta","RUS","4",3.1,6.5,4," REIS Violeta"
"women's 3m springboard","preliminary",26,"KUZINA Elizaveta","RUS","4",3.1,6,5," ZAMPIERI Marco"
"women's 3m springboard","preliminary",26,"KUZINA Elizaveta","RUS","4",3.1,6,6," RAO Lang"
"women's 3m springboard","preliminary",26,"KUZINA Elizaveta","RUS","4",3.1,6,7," SIEFKEN Jann Hendrik"
"women's 3m springboard","preliminary",26,"KUZINA Elizaveta","RUS","5",3,6.5,1," FEOKTISTOV Eduard"
"women's 3m springboard","preliminary",26,"KUZINA Elizaveta","RUS","5",3,6.5,2," GUAYACAN CONTRERAS Juan Carlos"
"women's 3m springboard","preliminary",26,"KUZINA Elizaveta","RUS","5",3,6.5,3," van der VOORT Ronald"
"women's 3m springboard","preliminary",26,"KUZINA Elizaveta","RUS","5",3,6.5,4," SANTOS Isabel"
"women's 3m springboard","preliminary",26,"KUZINA Elizaveta","RUS","5",3,6,5," SCHLEPPS Holger"
"women's 3m springboard","preliminary",26,"KUZINA Elizaveta","RUS","5",3,7,6," PRANARTA Pranarta"
"women's 3m springboard","preliminary",26,"KUZINA Elizaveta","RUS","5",3,6,7," DAW Yehia Zakaria Yehia"
"women's 3m springboard","preliminary",27,"PEREZ Elizabeth","VEN","1",2.7,7,1," FEOKTISTOV Eduard"
"women's 3m springboard","preliminary",27,"PEREZ Elizabeth","VEN","1",2.7,6.5,2," GUAYACAN CONTRERAS Juan Carlos"
"women's 3m springboard","preliminary",27,"PEREZ Elizabeth","VEN","1",2.7,6,3," van der VOORT Ronald"
"women's 3m springboard","preliminary",27,"PEREZ Elizabeth","VEN","1",2.7,6.5,4," SANTOS Isabel"
"women's 3m springboard","preliminary",27,"PEREZ Elizabeth","VEN","1",2.7,7,5," SCHLEPPS Holger"
"women's 3m springboard","preliminary",27,"PEREZ Elizabeth","VEN","1",2.7,7,6," PRANARTA Pranarta"
"women's 3m springboard","preliminary",27,"PEREZ Elizabeth","VEN","1",2.7,6.5,7," DAW Yehia Zakaria Yehia"
"women's 3m springboard","preliminary",27,"PEREZ Elizabeth","VEN","2",2.8,6.5,1," FEOKTISTOV Eduard"
"women's 3m springboard","preliminary",27,"PEREZ Elizabeth","VEN","2",2.8,6,2," GUAYACAN CONTRERAS Juan Carlos"
"women's 3m springboard","preliminary",27,"PEREZ Elizabeth","VEN","2",2.8,6.5,3," van der VOORT Ronald"
"women's 3m springboard","preliminary",27,"PEREZ Elizabeth","VEN","2",2.8,6.5,4," SANTOS Isabel"
"women's 3m springboard","preliminary",27,"PEREZ Elizabeth","VEN","2",2.8,6,5," SCHLEPPS Holger"
"women's 3m springboard","preliminary",27,"PEREZ Elizabeth","VEN","2",2.8,6.5,6," PRANARTA Pranarta"
"women's 3m springboard","preliminary",27,"PEREZ Elizabeth","VEN","2",2.8,6,7," DAW Yehia Zakaria Yehia"
"women's 3m springboard","preliminary",27,"PEREZ Elizabeth","VEN","3",3,6,1," ROCHA CHAVEZ Sergio"
"women's 3m springboard","preliminary",27,"PEREZ Elizabeth","VEN","3",3,6,2," FRASER Lindsey Ann"
"women's 3m springboard","preliminary",27,"PEREZ Elizabeth","VEN","3",3,6,3," LEE William"
"women's 3m springboard","preliminary",27,"PEREZ Elizabeth","VEN","3",3,6,4," REIS Violeta"
"women's 3m springboard","preliminary",27,"PEREZ Elizabeth","VEN","3",3,5.5,5," ZAMPIERI Marco"
"women's 3m springboard","preliminary",27,"PEREZ Elizabeth","VEN","3",3,6,6," RAO Lang"
"women's 3m springboard","preliminary",27,"PEREZ Elizabeth","VEN","3",3,5.5,7," SIEFKEN Jann Hendrik"
"women's 3m springboard","preliminary",27,"PEREZ Elizabeth","VEN","4",3,3.5,1," ROCHA CHAVEZ Sergio"
"women's 3m springboard","preliminary",27,"PEREZ Elizabeth","VEN","4",3,3,2," FRASER Lindsey Ann"
"women's 3m springboard","preliminary",27,"PEREZ Elizabeth","VEN","4",3,3.5,3," LEE William"
"women's 3m springboard","preliminary",27,"PEREZ Elizabeth","VEN","4",3,3.5,4," REIS Violeta"
"women's 3m springboard","preliminary",27,"PEREZ Elizabeth","VEN","4",3,3.5,5," ZAMPIERI Marco"
"women's 3m springboard","preliminary",27,"PEREZ Elizabeth","VEN","4",3,3.5,6," RAO Lang"
"women's 3m springboard","preliminary",27,"PEREZ Elizabeth","VEN","4",3,3,7," SIEFKEN Jann Hendrik"
"women's 3m springboard","preliminary",27,"PEREZ Elizabeth","VEN","5",3,6,1," FEOKTISTOV Eduard"
"women's 3m springboard","preliminary",27,"PEREZ Elizabeth","VEN","5",3,6,2," GUAYACAN CONTRERAS Juan Carlos"
"women's 3m springboard","preliminary",27,"PEREZ Elizabeth","VEN","5",3,6.5,3," van der VOORT Ronald"
"women's 3m springboard","preliminary",27,"PEREZ Elizabeth","VEN","5",3,6,4," SANTOS Isabel"
"women's 3m springboard","preliminary",27,"PEREZ Elizabeth","VEN","5",3,6,5," SCHLEPPS Holger"
"women's 3m springboard","preliminary",27,"PEREZ Elizabeth","VEN","5",3,6,6," PRANARTA Pranarta"
"women's 3m springboard","preliminary",27,"PEREZ Elizabeth","VEN","5",3,5,7," DAW Yehia Zakaria Yehia"
"women's 3m springboard","preliminary",28,"BERTOCCHI Elena","ITA","1",2.7,7,1," FEOKTISTOV Eduard"
"women's 3m springboard","preliminary",28,"BERTOCCHI Elena","ITA","1",2.7,5.5,2," GUAYACAN CONTRERAS Juan Carlos"
"women's 3m springboard","preliminary",28,"BERTOCCHI Elena","ITA","1",2.7,7,3," van der VOORT Ronald"
"women's 3m springboard","preliminary",28,"BERTOCCHI Elena","ITA","1",2.7,6,4," SANTOS Isabel"
"women's 3m springboard","preliminary",28,"BERTOCCHI Elena","ITA","1",2.7,7,5," SCHLEPPS Holger"
"women's 3m springboard","preliminary",28,"BERTOCCHI Elena","ITA","1",2.7,7,6," PRANARTA Pranarta"
"women's 3m springboard","preliminary",28,"BERTOCCHI Elena","ITA","1",2.7,7,7," DAW Yehia Zakaria Yehia"
"women's 3m springboard","preliminary",28,"BERTOCCHI Elena","ITA","2",3.1,5.5,1," FEOKTISTOV Eduard"
"women's 3m springboard","preliminary",28,"BERTOCCHI Elena","ITA","2",3.1,6,2," GUAYACAN CONTRERAS Juan Carlos"
"women's 3m springboard","preliminary",28,"BERTOCCHI Elena","ITA","2",3.1,7,3," van der VOORT Ronald"
"women's 3m springboard","preliminary",28,"BERTOCCHI Elena","ITA","2",3.1,6.5,4," SANTOS Isabel"
"women's 3m springboard","preliminary",28,"BERTOCCHI Elena","ITA","2",3.1,6,5," SCHLEPPS Holger"
"women's 3m springboard","preliminary",28,"BERTOCCHI Elena","ITA","2",3.1,5.5,6," PRANARTA Pranarta"
"women's 3m springboard","preliminary",28,"BERTOCCHI Elena","ITA","2",3.1,6,7," DAW Yehia Zakaria Yehia"
"women's 3m springboard","preliminary",28,"BERTOCCHI Elena","ITA","3",3,5.5,1," ROCHA CHAVEZ Sergio"
"women's 3m springboard","preliminary",28,"BERTOCCHI Elena","ITA","3",3,6,2," FRASER Lindsey Ann"
"women's 3m springboard","preliminary",28,"BERTOCCHI Elena","ITA","3",3,5,3," LEE William"
