"num","name","round","level","event"
"4"," WRIGHT Lisa",2,"semifinal"," men's 3m springboard"
"5"," FEOKTISTOV Eduard",2,"semifinal"," men's 3m springboard"
"6"," PETERSON Gord",2,"semifinal"," men's 3m springboard"
"7"," GOLOVAN Anatoliy",2,"semifinal"," men's 3m springboard"
"1"," BARTH Michael",3,"semifinal"," men's 3m springboard"
"2"," SHEPHERD Kathleen",3,"semifinal"," men's 3m springboard"
"3"," RAO Lang",3,"semifinal"," men's 3m springboard"
"4"," WRIGHT Lisa",3,"semifinal"," men's 3m springboard"
"5"," FEOKTISTOV Eduard",3,"semifinal"," men's 3m springboard"
"6"," PETERSON Gord",3,"semifinal"," men's 3m springboard"
"7"," GOLOVAN Anatoliy",3,"semifinal"," men's 3m springboard"
"1"," FRASER Lindsey Ann",4,"semifinal"," men's 3m springboard"
"2"," SZEKFFY Nora",4,"semifinal"," men's 3m springboard"
"3"," ZAMPIERI Marco",4,"semifinal"," men's 3m springboard"
"4"," REIS Violeta",4,"semifinal"," men's 3m springboard"
"5"," TOULOUDIS Nikolaos",4,"semifinal"," men's 3m springboard"
"6"," PRANARTA Pranarta",4,"semifinal"," men's 3m springboard"
"7"," van der VOORT Ronald",4,"semifinal"," men's 3m springboard"
"1"," FRASER Lindsey Ann",5,"semifinal"," men's 3m springboard"
"2"," SZEKFFY Nora",5,"semifinal"," men's 3m springboard"
"3"," ZAMPIERI Marco",5,"semifinal"," men's 3m springboard"
"4"," REIS Violeta",5,"semifinal"," men's 3m springboard"
"5"," TOULOUDIS Nikolaos",5,"semifinal"," men's 3m springboard"
"6"," PRANARTA Pranarta",5,"semifinal"," men's 3m springboard"
"7"," van der VOORT Ronald",5,"semifinal"," men's 3m springboard"
"1"," FRASER Lindsey Ann",6,"semifinal"," men's 3m springboard"
"2"," SZEKFFY Nora",6,"semifinal"," men's 3m springboard"
"3"," ZAMPIERI Marco",6,"semifinal"," men's 3m springboard"
"4"," REIS Violeta",6,"semifinal"," men's 3m springboard"
"5"," TOULOUDIS Nikolaos",6,"semifinal"," men's 3m springboard"
"6"," PRANARTA Pranarta",6,"semifinal"," men's 3m springboard"
"7"," van der VOORT Ronald",6,"semifinal"," men's 3m springboard"
"1"," KOH Tony",1,"semifinal","women's 3m springboard"
"2"," REIS Violeta",1,"semifinal","women's 3m springboard"
"3"," AXTELIUS Peter",1,"semifinal","women's 3m springboard"
"4"," RAO Lang",1,"semifinal","women's 3m springboard"
"5"," SZEKFFY Nora",1,"semifinal","women's 3m springboard"
"6"," PETERSON Gord",1,"semifinal","women's 3m springboard"
"7"," SCHLEPPS Holger",1,"semifinal","women's 3m springboard"
"1"," KOH Tony",2,"semifinal","women's 3m springboard"
"2"," REIS Violeta",2,"semifinal","women's 3m springboard"
"3"," AXTELIUS Peter",2,"semifinal","women's 3m springboard"
"4"," RAO Lang",2,"semifinal","women's 3m springboard"
"5"," SZEKFFY Nora",2,"semifinal","women's 3m springboard"
"6"," PETERSON Gord",2,"semifinal","women's 3m springboard"
"7"," SCHLEPPS Holger",2,"semifinal","women's 3m springboard"
"1"," KOH Tony",3,"semifinal","women's 3m springboard"
"2"," REIS Violeta",3,"semifinal","women's 3m springboard"
"3"," AXTELIUS Peter",3,"semifinal","women's 3m springboard"
"4"," RAO Lang",3,"semifinal","women's 3m springboard"
"5"," SZEKFFY Nora",3,"semifinal","women's 3m springboard"
"6"," PETERSON Gord",3,"semifinal","women's 3m springboard"
"7"," SCHLEPPS Holger",3,"semifinal","women's 3m springboard"
"1"," van der VOORT Ronald",4,"semifinal","women's 3m springboard"
