"Rank","Name","NAT","Dive No.","DD","J1","J2","J3","J4","J5","J6","J7","Dive Points","Dive Rank","Total Points","Overall Rank","Points Behind","level","event"
"13","KNIGHT-WISDOM Yona","JAM","307C","3.5","8.5","8.0","7.5","8.0","8.0","8.0","8.0","84.00","4","344.00","8","67.90","preliminary"," men's 3m springboard"
"13","KNIGHT-WISDOM Yona","JAM","5154B","3.4","6.0","6.5","6.0","5.0","7.0","5.5","6.0","61.20","=35","405.20","13","82.30","preliminary"," men's 3m springboard"
"14","RUVALCABA Jonathan","DOM","107B","3.1","6.5","7.5","7.0","7.0","7.5","7.0","7.0","65.10","=17","65.10","=17","9.70","preliminary"," men's 3m springboard"
"14","RUVALCABA Jonathan","DOM","205B","3.0","6.5","7.0","6.5","6.0","7.5","8.0","6.5","60.00","=29","125.10","22","26.20","preliminary"," men's 3m springboard"
"14","RUVALCABA Jonathan","DOM","307C","3.5","6.5","6.0","7.0","6.5","6.0","6.5","6.5","68.25","18","193.35","19","45.45","preliminary"," men's 3m springboard"
"14","RUVALCABA Jonathan","DOM","5353B","3.3","7.5","7.5","8.0","7.5","7.5","7.0","6.5","74.25","8","267.60","12","53.10","preliminary"," men's 3m springboard"
"14","RUVALCABA Jonathan","DOM","407C","3.4","5.5","6.5","6.5","7.0","6.0","6.5","6.5","66.30","=18","333.90","14","78.00","preliminary"," men's 3m springboard"
"14","RUVALCABA Jonathan","DOM","5154B","3.4","6.5","7.0","6.5","6.5","7.0","7.0","5.5","68.00","22","401.90","14","85.60","preliminary"," men's 3m springboard"
"15","DINGLEY Oliver","IRL","405B","3.0","7.0","7.0","7.0","8.0","7.5","7.0","7.5","64.50","=21","64.50","=21","10.30","preliminary"," men's 3m springboard"
"15","DINGLEY Oliver","IRL","107B","3.1","7.0","7.5","7.0","6.5","7.0","7.5","8.0","66.65","=16","131.15","20","20.15","preliminary"," men's 3m springboard"
"15","DINGLEY Oliver","IRL","5154B","3.4","7.0","7.0","6.5","7.5","6.0","6.5","7.5","69.70","16","200.85","14","37.95","preliminary"," men's 3m springboard"
"15","DINGLEY Oliver","IRL","205B","3.0","7.5","7.5","7.0","6.5","7.0","7.0","7.0","63.00","=19","263.85","13","56.85","preliminary"," men's 3m springboard"
"15","DINGLEY Oliver","IRL","305B","3.0","7.5","7.0","7.0","6.5","7.5","7.0","7.5","64.50","=21","328.35","17","83.55","preliminary"," men's 3m springboard"
"15","DINGLEY Oliver","IRL","5253B","3.4","7.0","7.0","7.5","7.0","7.0","7.0","7.0","71.40","=9","399.75","=15","87.75","preliminary"," men's 3m springboard"
"15","KIM Yeongnam","KOR","405B","3.0","8.0","8.5","7.0","7.0","7.5","7.5","7.5","67.50","=11","67.50","=11","7.30","preliminary"," men's 3m springboard"
"15","KIM Yeongnam","KOR","5154B","3.4","6.5","7.0","7.0","7.0","6.5","7.0","7.0","71.40","=7","138.90","8","12.40","preliminary"," men's 3m springboard"
"15","KIM Yeongnam","KOR","5353B","3.3","7.5","6.5","7.5","7.5","7.0","7.0","7.0","70.95","11","209.85","8","28.95","preliminary"," men's 3m springboard"
"15","KIM Yeongnam","KOR","205B","3.0","5.5","6.0","5.0","6.0","5.5","5.0","5.0","48.00","42","257.85","18","62.85","preliminary"," men's 3m springboard"
