"event","round","divenum","J1","J2","J3","J4","J5","J6","J7","JA"
"women's 10m platform","semifinal",3,"ROCHA CHAVEZ Sergio","SAADALLAH Khaled Gamil","RAO Lang","ALVARADO SALAZAR Ulises Alejandro","YEOH Ken Nee","NOVOTNA Hana","MORNEAU Helene","CHANDIRYAN Maria"
"women's 10m platform","semifinal",4,"ROCHA CHAVEZ Sergio","SAADALLAH Khaled Gamil","RAO Lang","ALVARADO SALAZAR Ulises Alejandro","YEOH Ken Nee","NOVOTNA Hana","MORNEAU Helene","CHANDIRYAN Maria"
" men's 3m springboard","final",1,"FABER Marc","YEOH Ken Nee","RUIZ PEDREGUERA Rolando","SZEKFFY Nora","KANETO Yuki","LATIMER Simon James","TELLEFSEN Arne","AXTELIUS Peter Olof"
" men's 3m springboard","final",2,"FABER Marc","YEOH Ken Nee","RUIZ PEDREGUERA Rolando","SZEKFFY Nora","KANETO Yuki","LATIMER Simon James","TELLEFSEN Arne","AXTELIUS Peter Olof"
" men's 3m springboard","final",3,"FABER Marc","YEOH Ken Nee","RUIZ PEDREGUERA Rolando","SZEKFFY Nora","KANETO Yuki","LATIMER Simon James","TELLEFSEN Arne","AXTELIUS Peter Olof"
" men's 3m springboard","final",4,"FABER Marc","YEOH Ken Nee","RUIZ PEDREGUERA Rolando","SZEKFFY Nora","KANETO Yuki","LATIMER Simon James","TELLEFSEN Arne","AXTELIUS Peter Olof"
" men's 3m springboard","final",5,"FABER Marc","YEOH Ken Nee","RUIZ PEDREGUERA Rolando","SZEKFFY Nora","KANETO Yuki","LATIMER Simon James","TELLEFSEN Arne","AXTELIUS Peter Olof"
" men's 3m springboard","final",6,"FABER Marc","YEOH Ken Nee","RUIZ PEDREGUERA Rolando","SZEKFFY Nora","KANETO Yuki","LATIMER Simon James","TELLEFSEN Arne","AXTELIUS Peter Olof"
"women's 3m springboard","final",1,"NOVOTNA Hana","RUIZ PEDREGUERA Rolando","TOULOUDIS Nikolaos","KELEMENVAN de KONIJNENBU Ildiko M","AYRES BARBOSA Ana Virginia","PARK Yoo Hyun","LATIMER Simon James","LER Soon Tien"
"women's 3m springboard","final",2,"NOVOTNA Hana","RUIZ PEDREGUERA Rolando","TOULOUDIS Nikolaos","KELEMENVAN de KONIJNENBU Ildiko M","AYRES BARBOSA Ana Virginia","PARK Yoo Hyun","LATIMER Simon James","LER Soon Tien"
"women's 3m springboard","final",3,"NOVOTNA Hana","RUIZ PEDREGUERA Rolando","TOULOUDIS Nikolaos","KELEMENVAN de KONIJNENBU Ildiko M","AYRES BARBOSA Ana Virginia","PARK Yoo Hyun","LATIMER Simon James","LER Soon Tien"
"women's 3m springboard","final",4,"NOVOTNA Hana","RUIZ PEDREGUERA Rolando","TOULOUDIS Nikolaos","KELEMENVAN de KONIJNENBU Ildiko M","AYRES BARBOSA Ana Virginia","PARK Yoo Hyun","LATIMER Simon James","LER Soon Tien"
"women's 3m springboard","final",5,"NOVOTNA Hana","RUIZ PEDREGUERA Rolando","TOULOUDIS Nikolaos","KELEMENVAN de KONIJNENBU Ildiko M","AYRES BARBOSA Ana Virginia","PARK Yoo Hyun","LATIMER Simon James","LER Soon Tien"
" men's 10m platform","final",1,"LATIMER Simon James","van der VOORT Ronald Hendrikus The","AYRES BARBOSA Ana Virginia","KELEMENVAN de KONIJNENBU Ildiko M","RUIZ PEDREGUERA Rolando","TOULOUDIS Nikolaos","LER Soon Tien","DAW Yehia Zakaria Yehia"
" men's 10m platform","final",2,"LATIMER Simon James","van der VOORT Ronald Hendrikus The","AYRES BARBOSA Ana Virginia","KELEMENVAN de KONIJNENBU Ildiko M","RUIZ PEDREGUERA Rolando","TOULOUDIS Nikolaos","LER Soon Tien","DAW Yehia Zakaria Yehia"
" men's 10m platform","final",3,"LATIMER Simon James","van der VOORT Ronald Hendrikus The","AYRES BARBOSA Ana Virginia","KELEMENVAN de KONIJNENBU Ildiko M","RUIZ PEDREGUERA Rolando","TOULOUDIS Nikolaos","LER Soon Tien","DAW Yehia Zakaria Yehia"
" men's 10m platform","final",4,"LATIMER Simon James","van der VOORT Ronald Hendrikus The","AYRES BARBOSA Ana Virginia","KELEMENVAN de KONIJNENBU Ildiko M","RUIZ PEDREGUERA Rolando","TOULOUDIS Nikolaos","LER Soon Tien","DAW Yehia Zakaria Yehia"
" men's 10m platform","final",5,"LATIMER Simon James","van der VOORT Ronald Hendrikus The","AYRES BARBOSA Ana Virginia","KELEMENVAN de KONIJNENBU Ildiko M","RUIZ PEDREGUERA Rolando","TOULOUDIS Nikolaos","LER Soon Tien","DAW Yehia Zakaria Yehia"
" men's 10m platform","final",6,"LATIMER Simon James","van der VOORT Ronald Hendrikus The","AYRES BARBOSA Ana Virginia","KELEMENVAN de KONIJNENBU Ildiko M","RUIZ PEDREGUERA Rolando","TOULOUDIS Nikolaos","LER Soon Tien","DAW Yehia Zakaria Yehia"
"women's 10m platform","final",1,"LER Soon Tien","LATIMER Simon James","VINOGRADOV Alexander","AYRES BARBOSA Ana Virginia","KELEMENVAN de KONIJNENBU Ildiko M","RUIZ PEDREGUERA Rolando","AXTELIUS Peter Olof","ALVARADO SALAZAR Ulises Alejandro"
"women's 10m platform","final",2,"LER Soon Tien","LATIMER Simon James","VINOGRADOV Alexander","AYRES BARBOSA Ana Virginia","KELEMENVAN de KONIJNENBU Ildiko M","RUIZ PEDREGUERA Rolando","AXTELIUS Peter Olof","ALVARADO SALAZAR Ulises Alejandro"
"women's 10m platform","final",3,"LER Soon Tien","LATIMER Simon James","VINOGRADOV Alexander","AYRES BARBOSA Ana Virginia","KELEMENVAN de KONIJNENBU Ildiko M","RUIZ PEDREGUERA Rolando","AXTELIUS Peter Olof","ALVARADO SALAZAR Ulises Alejandro"
"women's 10m platform","final",4,"LER Soon Tien","LATIMER Simon James","VINOGRADOV Alexander","AYRES BARBOSA Ana Virginia","KELEMENVAN de KONIJNENBU Ildiko M","RUIZ PEDREGUERA Rolando","AXTELIUS Peter Olof","ALVARADO SALAZAR Ulises Alejandro"
"women's 10m platform","final",5,"LER Soon Tien","LATIMER Simon James","VINOGRADOV Alexander","AYRES BARBOSA Ana Virginia","KELEMENVAN de KONIJNENBU Ildiko M","RUIZ PEDREGUERA Rolando","AXTELIUS Peter Olof","ALVARADO SALAZAR Ulises Alejandro"
