"event","round","divenum","J1","J2","J3","J4","J5","J6","J7","year","competition"
"women's 10m platform","semifinal b",5,"WU YingTan","van der VOORT Ronald","AVASILOAE Florin","BARBOSA Ana Virginia","WU Xiuren","WRIGHT Lisa","BEKETOV Andrei","2019","World_Series_Beijing"
" men's 3m springboard","final",1,"VYAS Mayur","van der VOORT Ronald","WU YingTan","BARBOSA Ana Virginia","AVASILOAE Florin","WU Xiuren","BEKETOV Andrei","2019","World_Series_Beijing"
" men's 3m springboard","final",2,"VYAS Mayur","van der VOORT Ronald","WU YingTan","BARBOSA Ana Virginia","AVASILOAE Florin","WU Xiuren","BEKETOV Andrei","2019","World_Series_Beijing"
" men's 3m springboard","final",3,"VYAS Mayur","van der VOORT Ronald","WU YingTan","BARBOSA Ana Virginia","AVASILOAE Florin","WU Xiuren","BEKETOV Andrei","2019","World_Series_Beijing"
" men's 3m springboard","final",4,"VYAS Mayur","van der VOORT Ronald","WU YingTan","BARBOSA Ana Virginia","AVASILOAE Florin","WU Xiuren","BEKETOV Andrei","2019","World_Series_Beijing"
" men's 3m springboard","final",5,"VYAS Mayur","van der VOORT Ronald","WU YingTan","BARBOSA Ana Virginia","AVASILOAE Florin","WU Xiuren","BEKETOV Andrei","2019","World_Series_Beijing"
" men's 3m springboard","final",6,"VYAS Mayur","van der VOORT Ronald","WU YingTan","BARBOSA Ana Virginia","AVASILOAE Florin","WU Xiuren","BEKETOV Andrei","2019","World_Series_Beijing"
"women's 3m springboard","final",1,"van der VOORT Ronald","RAO Lang","AVASILOAE Florin","WRIGHT Lisa","BARBOSA Ana Virginia","VYAS Mayur","WU YingTan","2019","World_Series_Beijing"
"women's 3m springboard","final",2,"van der VOORT Ronald","RAO Lang","AVASILOAE Florin","WRIGHT Lisa","BARBOSA Ana Virginia","VYAS Mayur","WU YingTan","2019","World_Series_Beijing"
"women's 3m springboard","final",3,"van der VOORT Ronald","RAO Lang","AVASILOAE Florin","WRIGHT Lisa","BARBOSA Ana Virginia","VYAS Mayur","WU YingTan","2019","World_Series_Beijing"
"women's 3m springboard","final",4,"van der VOORT Ronald","RAO Lang","AVASILOAE Florin","WRIGHT Lisa","BARBOSA Ana Virginia","VYAS Mayur","WU YingTan","2019","World_Series_Beijing"
"women's 3m springboard","final",5,"van der VOORT Ronald","RAO Lang","AVASILOAE Florin","WRIGHT Lisa","BARBOSA Ana Virginia","VYAS Mayur","WU YingTan","2019","World_Series_Beijing"
" men's 10m platform","final",1,"WRIGHT Lisa","van der VOORT Ronald","BEKETOV Andrei","AVASILOAE Florin","BARBOSA Ana Virginia","VYAS Mayur","WU Xiuren","2019","World_Series_Beijing"
" men's 10m platform","final",2,"WRIGHT Lisa","van der VOORT Ronald","BEKETOV Andrei","AVASILOAE Florin","BARBOSA Ana Virginia","VYAS Mayur","WU Xiuren","2019","World_Series_Beijing"
" men's 10m platform","final",3,"WRIGHT Lisa","van der VOORT Ronald","BEKETOV Andrei","AVASILOAE Florin","BARBOSA Ana Virginia","VYAS Mayur","WU Xiuren","2019","World_Series_Beijing"
" men's 10m platform","final",4,"WRIGHT Lisa","van der VOORT Ronald","BEKETOV Andrei","AVASILOAE Florin","BARBOSA Ana Virginia","VYAS Mayur","WU Xiuren","2019","World_Series_Beijing"
" men's 10m platform","final",5,"WRIGHT Lisa","van der VOORT Ronald","BEKETOV Andrei","AVASILOAE Florin","BARBOSA Ana Virginia","VYAS Mayur","WU Xiuren","2019","World_Series_Beijing"
" men's 10m platform","final",6,"WRIGHT Lisa","van der VOORT Ronald","BEKETOV Andrei","AVASILOAE Florin","BARBOSA Ana Virginia","VYAS Mayur","WU Xiuren","2019","World_Series_Beijing"
"women's 10m platform","final",1,"BARBOSA Ana Virginia","AVASILOAE Florin","BEKETOV Andrei","WU YingTan","WRIGHT Lisa","VYAS Mayur","RAO Lang","2019","World_Series_Beijing"
"women's 10m platform","final",2,"BARBOSA Ana Virginia","AVASILOAE Florin","BEKETOV Andrei","WU YingTan","WRIGHT Lisa","VYAS Mayur","RAO Lang","2019","World_Series_Beijing"
"women's 10m platform","final",3,"BARBOSA Ana Virginia","AVASILOAE Florin","BEKETOV Andrei","WU YingTan","WRIGHT Lisa","VYAS Mayur","RAO Lang","2019","World_Series_Beijing"
"women's 10m platform","final",4,"BARBOSA Ana Virginia","AVASILOAE Florin","BEKETOV Andrei","WU YingTan","WRIGHT Lisa","VYAS Mayur","RAO Lang","2019","World_Series_Beijing"
"women's 10m platform","final",5,"BARBOSA Ana Virginia","AVASILOAE Florin","BEKETOV Andrei","WU YingTan","WRIGHT Lisa","VYAS Mayur","RAO Lang","2019","World_Series_Beijing"
" men's 3m springboard","semifinal a",1,"RIOS HENAO Maria Cristina","TELLEFSEN Arne","AZORIN Daniel","ROCHA Sergio","FRASER Lindsey","AHLERING Julie","LEE William","2019","World_Series_London"
" men's 3m springboard","semifinal a",2,"RIOS HENAO Maria Cristina","TELLEFSEN Arne","AZORIN Daniel","ROCHA Sergio","FRASER Lindsey","AHLERING Julie","LEE William","2019","World_Series_London"
" men's 3m springboard","semifinal a",3,"RIOS HENAO Maria Cristina","TELLEFSEN Arne","AZORIN Daniel","ROCHA Sergio","FRASER Lindsey","AHLERING Julie","LEE William","2019","World_Series_London"
" men's 3m springboard","semifinal a",4,"RIOS HENAO Maria Cristina","TELLEFSEN Arne","AZORIN Daniel","ROCHA Sergio","FRASER Lindsey","AHLERING Julie","LEE William","2019","World_Series_London"
" men's 3m springboard","semifinal a",5,"RIOS HENAO Maria Cristina","TELLEFSEN Arne","AZORIN Daniel","ROCHA Sergio","FRASER Lindsey","AHLERING Julie","LEE William","2019","World_Series_London"
" men's 3m springboard","semifinal a",6,"RIOS HENAO Maria Cristina","TELLEFSEN Arne","AZORIN Daniel","ROCHA Sergio","FRASER Lindsey","AHLERING Julie","LEE William","2019","World_Series_London"
"women's 3m springboard","semifinal a",1,"TELLEFSEN Arne","LEE William","AHLERING Julie","AZORIN Daniel","TOMLINSON Vicki","RIOS HENAO Maria Cristina","ZAMPIERI Marco","2019","World_Series_London"
"women's 3m springboard","semifinal a",2,"TELLEFSEN Arne","LEE William","AHLERING Julie","AZORIN Daniel","TOMLINSON Vicki","RIOS HENAO Maria Cristina","ZAMPIERI Marco","2019","World_Series_London"
"women's 3m springboard","semifinal a",3,"TELLEFSEN Arne","LEE William","AHLERING Julie","AZORIN Daniel","TOMLINSON Vicki","RIOS HENAO Maria Cristina","ZAMPIERI Marco","2019","World_Series_London"
"women's 3m springboard","semifinal a",4,"TELLEFSEN Arne","LEE William","AHLERING Julie","AZORIN Daniel","TOMLINSON Vicki","RIOS HENAO Maria Cristina","ZAMPIERI Marco","2019","World_Series_London"
"women's 3m springboard","semifinal a",5,"TELLEFSEN Arne","LEE William","AHLERING Julie","AZORIN Daniel","TOMLINSON Vicki","RIOS HENAO Maria Cristina","ZAMPIERI Marco","2019","World_Series_London"
" men's 10m platform","semifinal a",1,"AHLERING Julie","FRASER Lindsey","LEE William","ZAMPIERI Marco","RIOS HENAO Maria Cristina","TELLEFSEN Arne","ROCHA Sergio","2019","World_Series_London"
" men's 10m platform","semifinal a",2,"AHLERING Julie","FRASER Lindsey","LEE William","ZAMPIERI Marco","RIOS HENAO Maria Cristina","TELLEFSEN Arne","ROCHA Sergio","2019","World_Series_London"
" men's 10m platform","semifinal a",3,"AHLERING Julie","FRASER Lindsey","LEE William","ZAMPIERI Marco","RIOS HENAO Maria Cristina","TELLEFSEN Arne","ROCHA Sergio","2019","World_Series_London"
" men's 10m platform","semifinal a",4,"AHLERING Julie","FRASER Lindsey","LEE William","ZAMPIERI Marco","RIOS HENAO Maria Cristina","TELLEFSEN Arne","ROCHA Sergio","2019","World_Series_London"
" men's 10m platform","semifinal a",5,"AHLERING Julie","FRASER Lindsey","LEE William","ZAMPIERI Marco","RIOS HENAO Maria Cristina","TELLEFSEN Arne","ROCHA Sergio","2019","World_Series_London"
" men's 10m platform","semifinal a",6,"AHLERING Julie","FRASER Lindsey","LEE William","ZAMPIERI Marco","RIOS HENAO Maria Cristina","TELLEFSEN Arne","ROCHA Sergio","2019","World_Series_London"
"women's 10m platform","semifinal a",1,"LEE William","RIOS HENAO Maria Cristina","TOMLINSON Vicki","TELLEFSEN Arne","ZAMPIERI Marco","ROCHA Sergio","AZORIN Daniel","2019","World_Series_London"
"women's 10m platform","semifinal a",2,"LEE William","RIOS HENAO Maria Cristina","TOMLINSON Vicki","TELLEFSEN Arne","ZAMPIERI Marco","ROCHA Sergio","AZORIN Daniel","2019","World_Series_London"
"women's 10m platform","semifinal a",3,"LEE William","RIOS HENAO Maria Cristina","TOMLINSON Vicki","TELLEFSEN Arne","ZAMPIERI Marco","ROCHA Sergio","AZORIN Daniel","2019","World_Series_London"
"women's 10m platform","semifinal a",4,"LEE William","RIOS HENAO Maria Cristina","TOMLINSON Vicki","TELLEFSEN Arne","ZAMPIERI Marco","ROCHA Sergio","AZORIN Daniel","2019","World_Series_London"
"women's 10m platform","semifinal a",5,"LEE William","RIOS HENAO Maria Cristina","TOMLINSON Vicki","TELLEFSEN Arne","ZAMPIERI Marco","ROCHA Sergio","AZORIN Daniel","2019","World_Series_London"
" men's 3m springboard","semifinal b",1,"RIOS HENAO Maria Cristina","TELLEFSEN Arne","AZORIN Daniel","ROCHA Sergio","FRASER Lindsey","AHLERING Julie","LEE William","2019","World_Series_London"
" men's 3m springboard","semifinal b",2,"RIOS HENAO Maria Cristina","TELLEFSEN Arne","AZORIN Daniel","ROCHA Sergio","FRASER Lindsey","AHLERING Julie","LEE William","2019","World_Series_London"
" men's 3m springboard","semifinal b",3,"RIOS HENAO Maria Cristina","TELLEFSEN Arne","AZORIN Daniel","ROCHA Sergio","FRASER Lindsey","AHLERING Julie","LEE William","2019","World_Series_London"
" men's 3m springboard","semifinal b",4,"RIOS HENAO Maria Cristina","TELLEFSEN Arne","AZORIN Daniel","ROCHA Sergio","FRASER Lindsey","AHLERING Julie","LEE William","2019","World_Series_London"
" men's 3m springboard","semifinal b",5,"RIOS HENAO Maria Cristina","TELLEFSEN Arne","AZORIN Daniel","ROCHA Sergio","FRASER Lindsey","AHLERING Julie","LEE William","2019","World_Series_London"
" men's 3m springboard","semifinal b",6,"RIOS HENAO Maria Cristina","TELLEFSEN Arne","AZORIN Daniel","ROCHA Sergio","FRASER Lindsey","AHLERING Julie","LEE William","2019","World_Series_London"
"women's 3m springboard","semifinal b",1,"TELLEFSEN Arne","LEE William","AHLERING Julie","AZORIN Daniel","TOMLINSON Vicki","RIOS HENAO Maria Cristina","ZAMPIERI Marco","2019","World_Series_London"
"women's 3m springboard","semifinal b",2,"TELLEFSEN Arne","LEE William","AHLERING Julie","AZORIN Daniel","TOMLINSON Vicki","RIOS HENAO Maria Cristina","ZAMPIERI Marco","2019","World_Series_London"
"women's 3m springboard","semifinal b",3,"TELLEFSEN Arne","LEE William","AHLERING Julie","AZORIN Daniel","TOMLINSON Vicki","RIOS HENAO Maria Cristina","ZAMPIERI Marco","2019","World_Series_London"
"women's 3m springboard","semifinal b",4,"TELLEFSEN Arne","LEE William","AHLERING Julie","AZORIN Daniel","TOMLINSON Vicki","RIOS HENAO Maria Cristina","ZAMPIERI Marco","2019","World_Series_London"
"women's 3m springboard","semifinal b",5,"TELLEFSEN Arne","LEE William","AHLERING Julie","AZORIN Daniel","TOMLINSON Vicki","RIOS HENAO Maria Cristina","ZAMPIERI Marco","2019","World_Series_London"
" men's 10m platform","semifinal b",1,"AHLERING Julie","FRASER Lindsey","LEE William","ZAMPIERI Marco","RIOS HENAO Maria Cristina","TELLEFSEN Arne","ROCHA Sergio","2019","World_Series_London"
" men's 10m platform","semifinal b",2,"AHLERING Julie","FRASER Lindsey","LEE William","ZAMPIERI Marco","RIOS HENAO Maria Cristina","TELLEFSEN Arne","ROCHA Sergio","2019","World_Series_London"
" men's 10m platform","semifinal b",3,"AHLERING Julie","FRASER Lindsey","LEE William","ZAMPIERI Marco","RIOS HENAO Maria Cristina","TELLEFSEN Arne","ROCHA Sergio","2019","World_Series_London"
" men's 10m platform","semifinal b",4,"AHLERING Julie","FRASER Lindsey","LEE William","ZAMPIERI Marco","RIOS HENAO Maria Cristina","TELLEFSEN Arne","ROCHA Sergio","2019","World_Series_London"
" men's 10m platform","semifinal b",5,"AHLERING Julie","FRASER Lindsey","LEE William","ZAMPIERI Marco","RIOS HENAO Maria Cristina","TELLEFSEN Arne","ROCHA Sergio","2019","World_Series_London"
" men's 10m platform","semifinal b",6,"AHLERING Julie","FRASER Lindsey","LEE William","ZAMPIERI Marco","RIOS HENAO Maria Cristina","TELLEFSEN Arne","ROCHA Sergio","2019","World_Series_London"
"women's 10m platform","semifinal b",1,"LEE William","RIOS HENAO Maria Cristina","TOMLINSON Vicki","TELLEFSEN Arne","ZAMPIERI Marco","ROCHA Sergio","AZORIN Daniel","2019","World_Series_London"
"women's 10m platform","semifinal b",2,"LEE William","RIOS HENAO Maria Cristina","TOMLINSON Vicki","TELLEFSEN Arne","ZAMPIERI Marco","ROCHA Sergio","AZORIN Daniel","2019","World_Series_London"
"women's 10m platform","semifinal b",3,"LEE William","RIOS HENAO Maria Cristina","TOMLINSON Vicki","TELLEFSEN Arne","ZAMPIERI Marco","ROCHA Sergio","AZORIN Daniel","2019","World_Series_London"
"women's 10m platform","semifinal b",4,"LEE William","RIOS HENAO Maria Cristina","TOMLINSON Vicki","TELLEFSEN Arne","ZAMPIERI Marco","ROCHA Sergio","AZORIN Daniel","2019","World_Series_London"
"women's 10m platform","semifinal b",5,"LEE William","RIOS HENAO Maria Cristina","TOMLINSON Vicki","TELLEFSEN Arne","ZAMPIERI Marco","ROCHA Sergio","AZORIN Daniel","2019","World_Series_London"
" men's 3m springboard","final",1,"FRASER Lindsey","LEE William","TELLEFSEN Arne","AHLERING Julie","AZORIN Daniel","ROCHA Sergio","ZAMPIERI Marco","2019","World_Series_London"
" men's 3m springboard","final",2,"FRASER Lindsey","LEE William","TELLEFSEN Arne","AHLERING Julie","AZORIN Daniel","ROCHA Sergio","ZAMPIERI Marco","2019","World_Series_London"
" men's 3m springboard","final",3,"FRASER Lindsey","LEE William","TELLEFSEN Arne","AHLERING Julie","AZORIN Daniel","ROCHA Sergio","ZAMPIERI Marco","2019","World_Series_London"
" men's 3m springboard","final",4,"FRASER Lindsey","LEE William","TELLEFSEN Arne","AHLERING Julie","AZORIN Daniel","ROCHA Sergio","ZAMPIERI Marco","2019","World_Series_London"
" men's 3m springboard","final",5,"FRASER Lindsey","LEE William","TELLEFSEN Arne","AHLERING Julie","AZORIN Daniel","ROCHA Sergio","ZAMPIERI Marco","2019","World_Series_London"
" men's 3m springboard","final",6,"FRASER Lindsey","LEE William","TELLEFSEN Arne","AHLERING Julie","AZORIN Daniel","ROCHA Sergio","ZAMPIERI Marco","2019","World_Series_London"
"women's 3m springboard","final",1,"AHLERING Julie","BAMBER Susan","LEE William","RIOS HENAO Maria Cristina","ROCHA Sergio","ZAMPIERI Marco","AZORIN Daniel","2019","World_Series_London"
"women's 3m springboard","final",2,"AHLERING Julie","BAMBER Susan","LEE William","RIOS HENAO Maria Cristina","ROCHA Sergio","ZAMPIERI Marco","AZORIN Daniel","2019","World_Series_London"
"women's 3m springboard","final",3,"AHLERING Julie","BAMBER Susan","LEE William","RIOS HENAO Maria Cristina","ROCHA Sergio","ZAMPIERI Marco","AZORIN Daniel","2019","World_Series_London"
"women's 3m springboard","final",4,"AHLERING Julie","BAMBER Susan","LEE William","RIOS HENAO Maria Cristina","ROCHA Sergio","ZAMPIERI Marco","AZORIN Daniel","2019","World_Series_London"
"women's 3m springboard","final",5,"AHLERING Julie","BAMBER Susan","LEE William","RIOS HENAO Maria Cristina","ROCHA Sergio","ZAMPIERI Marco","AZORIN Daniel","2019","World_Series_London"
" men's 10m platform","final",1,"ROCHA Sergio","FRASER Lindsey","AZORIN Daniel","ZAMPIERI Marco","RIOS HENAO Maria Cristina","TELLEFSEN Arne","AHLERING Julie","2019","World_Series_London"
" men's 10m platform","final",2,"ROCHA Sergio","FRASER Lindsey","AZORIN Daniel","ZAMPIERI Marco","RIOS HENAO Maria Cristina","TELLEFSEN Arne","AHLERING Julie","2019","World_Series_London"
" men's 10m platform","final",3,"ROCHA Sergio","FRASER Lindsey","AZORIN Daniel","ZAMPIERI Marco","RIOS HENAO Maria Cristina","TELLEFSEN Arne","AHLERING Julie","2019","World_Series_London"
" men's 10m platform","final",4,"ROCHA Sergio","FRASER Lindsey","AZORIN Daniel","ZAMPIERI Marco","RIOS HENAO Maria Cristina","TELLEFSEN Arne","AHLERING Julie","2019","World_Series_London"
" men's 10m platform","final",5,"ROCHA Sergio","FRASER Lindsey","AZORIN Daniel","ZAMPIERI Marco","RIOS HENAO Maria Cristina","TELLEFSEN Arne","AHLERING Julie","2019","World_Series_London"
" men's 10m platform","final",6,"ROCHA Sergio","FRASER Lindsey","AZORIN Daniel","ZAMPIERI Marco","RIOS HENAO Maria Cristina","TELLEFSEN Arne","AHLERING Julie","2019","World_Series_London"
"women's 10m platform","final",1,"TELLEFSEN Arne","AZORIN Daniel","TOMLINSON Vicki","ZAMPIERI Marco","ROCHA Sergio","AHLERING Julie","RIOS HENAO Maria Cristina","2019","World_Series_London"
"women's 10m platform","final",2,"TELLEFSEN Arne","AZORIN Daniel","TOMLINSON Vicki","ZAMPIERI Marco","ROCHA Sergio","AHLERING Julie","RIOS HENAO Maria Cristina","2019","World_Series_London"
"women's 10m platform","final",3,"TELLEFSEN Arne","AZORIN Daniel","TOMLINSON Vicki","ZAMPIERI Marco","ROCHA Sergio","AHLERING Julie","RIOS HENAO Maria Cristina","2019","World_Series_London"
"women's 10m platform","final",4,"TELLEFSEN Arne","AZORIN Daniel","TOMLINSON Vicki","ZAMPIERI Marco","ROCHA Sergio","AHLERING Julie","RIOS HENAO Maria Cristina","2019","World_Series_London"
"women's 10m platform","final",5,"TELLEFSEN Arne","AZORIN Daniel","TOMLINSON Vicki","ZAMPIERI Marco","ROCHA Sergio","AHLERING Julie","RIOS HENAO Maria Cristina","2019","World_Series_London"
" men's 3m springboard","semifinal a",1,"PIKTURNIENE Ale","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","TOULOUDIS Nikolaos","FRASER Lindsey","BUSH Barb","2019","World_Series_Montreal"
" men's 3m springboard","semifinal a",2,"PIKTURNIENE Ale","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","TOULOUDIS Nikolaos","FRASER Lindsey","BUSH Barb","2019","World_Series_Montreal"
" men's 3m springboard","semifinal a",3,"PIKTURNIENE Ale","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","TOULOUDIS Nikolaos","FRASER Lindsey","BUSH Barb","2019","World_Series_Montreal"
" men's 3m springboard","semifinal a",4,"PIKTURNIENE Ale","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","TOULOUDIS Nikolaos","FRASER Lindsey","BUSH Barb","2019","World_Series_Montreal"
" men's 3m springboard","semifinal a",5,"PIKTURNIENE Ale","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","TOULOUDIS Nikolaos","FRASER Lindsey","BUSH Barb","2019","World_Series_Montreal"
" men's 3m springboard","semifinal a",6,"PIKTURNIENE Ale","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","TOULOUDIS Nikolaos","FRASER Lindsey","BUSH Barb","2019","World_Series_Montreal"
"women's 3m springboard","semifinal a",1,"ALVARADO Ulises","TOULOUDIS Nikolaos","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","PIKTURNIENE Ale","PETERSON Gordon","2019","World_Series_Montreal"
"women's 3m springboard","semifinal a",2,"ALVARADO Ulises","TOULOUDIS Nikolaos","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","PIKTURNIENE Ale","PETERSON Gordon","2019","World_Series_Montreal"
"women's 3m springboard","semifinal a",3,"ALVARADO Ulises","TOULOUDIS Nikolaos","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","PIKTURNIENE Ale","PETERSON Gordon","2019","World_Series_Montreal"
"women's 3m springboard","semifinal a",4,"ALVARADO Ulises","TOULOUDIS Nikolaos","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","PIKTURNIENE Ale","PETERSON Gordon","2019","World_Series_Montreal"
"women's 3m springboard","semifinal a",5,"ALVARADO Ulises","TOULOUDIS Nikolaos","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","PIKTURNIENE Ale","PETERSON Gordon","2019","World_Series_Montreal"
" men's 10m platform","semifinal a",1,"BUSH Barb","TOULOUDIS Nikolaos","LANG Rao","STABILE Jeff","PIKTURNIENE Ale","FRASER Lindsey","RUIZ PEDREGUERA Rolando","2019","World_Series_Montreal"
" men's 10m platform","semifinal a",2,"BUSH Barb","TOULOUDIS Nikolaos","LANG Rao","STABILE Jeff","PIKTURNIENE Ale","FRASER Lindsey","RUIZ PEDREGUERA Rolando","2019","World_Series_Montreal"
" men's 10m platform","semifinal a",3,"BUSH Barb","TOULOUDIS Nikolaos","LANG Rao","STABILE Jeff","PIKTURNIENE Ale","FRASER Lindsey","RUIZ PEDREGUERA Rolando","2019","World_Series_Montreal"
" men's 10m platform","semifinal a",4,"BUSH Barb","TOULOUDIS Nikolaos","LANG Rao","STABILE Jeff","PIKTURNIENE Ale","FRASER Lindsey","RUIZ PEDREGUERA Rolando","2019","World_Series_Montreal"
" men's 10m platform","semifinal a",5,"BUSH Barb","TOULOUDIS Nikolaos","LANG Rao","STABILE Jeff","PIKTURNIENE Ale","FRASER Lindsey","RUIZ PEDREGUERA Rolando","2019","World_Series_Montreal"
" men's 10m platform","semifinal a",6,"BUSH Barb","TOULOUDIS Nikolaos","LANG Rao","STABILE Jeff","PIKTURNIENE Ale","FRASER Lindsey","RUIZ PEDREGUERA Rolando","2019","World_Series_Montreal"
"women's 10m platform","semifinal a",1,"PETERSON Gordon","STABILE Jeff","FRASER Lindsey","TOULOUDIS Nikolaos","ALVARADO Ulises","LANG Rao","PIKTURNIENE Ale","2019","World_Series_Montreal"
"women's 10m platform","semifinal a",2,"PETERSON Gordon","STABILE Jeff","FRASER Lindsey","TOULOUDIS Nikolaos","ALVARADO Ulises","LANG Rao","PIKTURNIENE Ale","2019","World_Series_Montreal"
"women's 10m platform","semifinal a",3,"PETERSON Gordon","STABILE Jeff","FRASER Lindsey","TOULOUDIS Nikolaos","ALVARADO Ulises","LANG Rao","PIKTURNIENE Ale","2019","World_Series_Montreal"
"women's 10m platform","semifinal a",4,"PETERSON Gordon","STABILE Jeff","FRASER Lindsey","TOULOUDIS Nikolaos","ALVARADO Ulises","LANG Rao","PIKTURNIENE Ale","2019","World_Series_Montreal"
"women's 10m platform","semifinal a",5,"PETERSON Gordon","STABILE Jeff","FRASER Lindsey","TOULOUDIS Nikolaos","ALVARADO Ulises","LANG Rao","PIKTURNIENE Ale","2019","World_Series_Montreal"
" men's 3m springboard","semifinal b",1,"PIKTURNIENE Ale","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","TOULOUDIS Nikolaos","FRASER Lindsey","BUSH Barb","2019","World_Series_Montreal"
" men's 3m springboard","semifinal b",2,"PIKTURNIENE Ale","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","TOULOUDIS Nikolaos","FRASER Lindsey","BUSH Barb","2019","World_Series_Montreal"
" men's 3m springboard","semifinal b",3,"PIKTURNIENE Ale","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","TOULOUDIS Nikolaos","FRASER Lindsey","BUSH Barb","2019","World_Series_Montreal"
" men's 3m springboard","semifinal b",4,"PIKTURNIENE Ale","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","TOULOUDIS Nikolaos","FRASER Lindsey","BUSH Barb","2019","World_Series_Montreal"
" men's 3m springboard","semifinal b",5,"PIKTURNIENE Ale","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","TOULOUDIS Nikolaos","FRASER Lindsey","BUSH Barb","2019","World_Series_Montreal"
" men's 3m springboard","semifinal b",6,"PIKTURNIENE Ale","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","TOULOUDIS Nikolaos","FRASER Lindsey","BUSH Barb","2019","World_Series_Montreal"
"women's 3m springboard","semifinal b",1,"ALVARADO Ulises","TOULOUDIS Nikolaos","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","PIKTURNIENE Ale","PETERSON Gordon","2019","World_Series_Montreal"
"women's 3m springboard","semifinal b",2,"ALVARADO Ulises","TOULOUDIS Nikolaos","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","PIKTURNIENE Ale","PETERSON Gordon","2019","World_Series_Montreal"
"women's 3m springboard","semifinal b",3,"ALVARADO Ulises","TOULOUDIS Nikolaos","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","PIKTURNIENE Ale","PETERSON Gordon","2019","World_Series_Montreal"
"women's 3m springboard","semifinal b",4,"ALVARADO Ulises","TOULOUDIS Nikolaos","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","PIKTURNIENE Ale","PETERSON Gordon","2019","World_Series_Montreal"
"women's 3m springboard","semifinal b",5,"ALVARADO Ulises","TOULOUDIS Nikolaos","LANG Rao","RUIZ PEDREGUERA Rolando","STABILE Jeff","PIKTURNIENE Ale","PETERSON Gordon","2019","World_Series_Montreal"
" men's 10m platform","semifinal b",1,"BUSH Barb","TOULOUDIS Nikolaos","LANG Rao","STABILE Jeff","PIKTURNIENE Ale","FRASER Lindsey","RUIZ PEDREGUERA Rolando","2019","World_Series_Montreal"
" men's 10m platform","semifinal b",2,"BUSH Barb","TOULOUDIS Nikolaos","LANG Rao","STABILE Jeff","PIKTURNIENE Ale","FRASER Lindsey","RUIZ PEDREGUERA Rolando","2019","World_Series_Montreal"
" men's 10m platform","semifinal b",3,"BUSH Barb","TOULOUDIS Nikolaos","LANG Rao","STABILE Jeff","PIKTURNIENE Ale","FRASER Lindsey","RUIZ PEDREGUERA Rolando","2019","World_Series_Montreal"
" men's 10m platform","semifinal b",4,"BUSH Barb","TOULOUDIS Nikolaos","LANG Rao","STABILE Jeff","PIKTURNIENE Ale","FRASER Lindsey","RUIZ PEDREGUERA Rolando","2019","World_Series_Montreal"
" men's 10m platform","semifinal b",5,"BUSH Barb","TOULOUDIS Nikolaos","LANG Rao","STABILE Jeff","PIKTURNIENE Ale","FRASER Lindsey","RUIZ PEDREGUERA Rolando","2019","World_Series_Montreal"
" men's 10m platform","semifinal b",6,"BUSH Barb","TOULOUDIS Nikolaos","LANG Rao","STABILE Jeff","PIKTURNIENE Ale","FRASER Lindsey","RUIZ PEDREGUERA Rolando","2019","World_Series_Montreal"
"women's 10m platform","semifinal b",1,"PETERSON Gordon","STABILE Jeff","FRASER Lindsey","TOULOUDIS Nikolaos","ALVARADO Ulises","LANG Rao","PIKTURNIENE Ale","2019","World_Series_Montreal"
"women's 10m platform","semifinal b",2,"PETERSON Gordon","STABILE Jeff","FRASER Lindsey","TOULOUDIS Nikolaos","ALVARADO Ulises","LANG Rao","PIKTURNIENE Ale","2019","World_Series_Montreal"
"women's 10m platform","semifinal b",3,"PETERSON Gordon","STABILE Jeff","FRASER Lindsey","TOULOUDIS Nikolaos","ALVARADO Ulises","LANG Rao","PIKTURNIENE Ale","2019","World_Series_Montreal"
"women's 10m platform","semifinal b",4,"PETERSON Gordon","STABILE Jeff","FRASER Lindsey","TOULOUDIS Nikolaos","ALVARADO Ulises","LANG Rao","PIKTURNIENE Ale","2019","World_Series_Montreal"
