"divenum","event","round","year","competition","judge_id","rank","name","dcountry","divecode","DD","divepts","diverank","totalpts","overallrank","pointsbehind","judges_score","judge_name","jcountry","gender"
4,"women's 3m springboard","final",2018,"World_Series_Kazan","J3",6,"SABRI Nur Dhabitah Binti","MAS","305B",3,"40.5","6",236.1,"6",61.75,4.5,"RUIZ PEDREGUERA Rolando","CUB","Male"
4,"women's 3m springboard","final",2018,"World_Series_Kazan","J3",4,"QIN Esther","AUS","305B",3,"69","3",258.75,"4",39.1,7.5,"RUIZ PEDREGUERA Rolando","CUB","Male"
4,"women's 3m springboard","final",2018,"World_Series_Kazan","J3",1,"SHI Tingmao","CHN","107B",3.1,"72.85","2",297.85,"1",0,8,"RUIZ PEDREGUERA Rolando","CUB","Male"
4,"women's 3m springboard","final",2018,"World_Series_Kazan","J3",3,"ABEL Jennifer","CAN","5154B",3.4,"66.3","4",266.55,"3",31.3,7,"RUIZ PEDREGUERA Rolando","CUB","Male"
4,"women's 3m springboard","final",2018,"World_Series_Kazan","J3",5,"WARE Pamela","CAN","305B",3,"63","5",254.15,"5",43.7,7,"RUIZ PEDREGUERA Rolando","CUB","Male"
4,"women's 3m springboard","final",2018,"World_Series_Kazan","J3",2,"WANG Han","CHN","107B",3.1,"79.05","1",283.05,"2",14.8,8.5,"RUIZ PEDREGUERA Rolando","CUB","Male"
4,"women's 3m springboard","final",2018,"World_Series_Kazan","J4",1,"SHI Tingmao","CHN","107B",3.1,"72.85","2",297.85,"1",0,7.5,"ROCHA CHAVEZ Sergio","MEX","Male"
4,"women's 3m springboard","final",2018,"World_Series_Kazan","J4",3,"ABEL Jennifer","CAN","5154B",3.4,"66.3","4",266.55,"3",31.3,6.5,"ROCHA CHAVEZ Sergio","MEX","Male"
4,"women's 3m springboard","final",2018,"World_Series_Kazan","J4",5,"WARE Pamela","CAN","305B",3,"63","5",254.15,"5",43.7,6.5,"ROCHA CHAVEZ Sergio","MEX","Male"
4,"women's 3m springboard","final",2018,"World_Series_Kazan","J4",6,"SABRI Nur Dhabitah Binti","MAS","305B",3,"40.5","6",236.1,"6",61.75,4.5,"ROCHA CHAVEZ Sergio","MEX","Male"
4,"women's 3m springboard","final",2018,"World_Series_Kazan","J4",4,"QIN Esther","AUS","305B",3,"69","3",258.75,"4",39.1,7.5,"ROCHA CHAVEZ Sergio","MEX","Male"
4,"women's 3m springboard","final",2018,"World_Series_Kazan","J4",2,"WANG Han","CHN","107B",3.1,"79.05","1",283.05,"2",14.8,8.5,"ROCHA CHAVEZ Sergio","MEX","Male"
4,"women's 3m springboard","final",2018,"World_Series_Kazan","J6",2,"WANG Han","CHN","107B",3.1,"79.05","1",283.05,"2",14.8,8.5,"FEOKTISTOV Eduard","RUS","Male"
4,"women's 3m springboard","final",2018,"World_Series_Kazan","J6",4,"QIN Esther","AUS","305B",3,"69","3",258.75,"4",39.1,7.5,"FEOKTISTOV Eduard","RUS","Male"
4,"women's 3m springboard","final",2018,"World_Series_Kazan","J6",5,"WARE Pamela","CAN","305B",3,"63","5",254.15,"5",43.7,7,"FEOKTISTOV Eduard","RUS","Male"
4,"women's 3m springboard","final",2018,"World_Series_Kazan","J6",1,"SHI Tingmao","CHN","107B",3.1,"72.85","2",297.85,"1",0,7.5,"FEOKTISTOV Eduard","RUS","Male"
4,"women's 3m springboard","final",2018,"World_Series_Kazan","J6",6,"SABRI Nur Dhabitah Binti","MAS","305B",3,"40.5","6",236.1,"6",61.75,4.5,"FEOKTISTOV Eduard","RUS","Male"
4,"women's 3m springboard","final",2018,"World_Series_Kazan","J6",3,"ABEL Jennifer","CAN","5154B",3.4,"66.3","4",266.55,"3",31.3,6.5,"FEOKTISTOV Eduard","RUS","Male"
4,"women's 3m springboard","final",2018,"World_Series_Kazan","J7",4,"QIN Esther","AUS","305B",3,"69","3",258.75,"4",39.1,8,"GOLOVAN Anatoliy","UKR","Male"
4,"women's 3m springboard","final",2018,"World_Series_Kazan","J7",3,"ABEL Jennifer","CAN","5154B",3.4,"66.3","4",266.55,"3",31.3,6.5,"GOLOVAN Anatoliy","UKR","Male"
4,"women's 3m springboard","final",2018,"World_Series_Kazan","J7",5,"WARE Pamela","CAN","305B",3,"63","5",254.15,"5",43.7,7,"GOLOVAN Anatoliy","UKR","Male"
4,"women's 3m springboard","final",2018,"World_Series_Kazan","J7",6,"SABRI Nur Dhabitah Binti","MAS","305B",3,"40.5","6",236.1,"6",61.75,4.5,"GOLOVAN Anatoliy","UKR","Male"
4,"women's 3m springboard","final",2018,"World_Series_Kazan","J7",2,"WANG Han","CHN","107B",3.1,"79.05","1",283.05,"2",14.8,8.5,"GOLOVAN Anatoliy","UKR","Male"
